0.01,0.233945479
0.02,0.238166369
0.03,0.232816728
0.04,0.227229608
0.05,0.222283986
0.06,0.219495135
0.07,0.217143101
0.08,0.214973511
0.09,0.212980285
0.1,0.211147653
0.11,0.209458065
0.12,0.207895028
0.13,0.206443802
0.14,0.205091581
0.15,0.203826075
0.16,0.202640296
0.17,0.201524819
0.18,0.200472593
0.19,0.199477504
0.2,0.198534225
0.21,0.197638126
0.22,0.196785115
0.23,0.195971589
0.24,0.195194378
0.25,0.194450644
0.26,0.193782514
0.27,0.193143069
0.28,0.192530273
0.29,0.191942326
0.3,0.191377555
0.31,0.190834459
0.32,0.190311651
0.33,0.189807934
0.34,0.189322148
0.35,0.188853252
0.36,0.188400285
0.37,0.187962358
0.38,0.187538693
0.39,0.187128521
0.4,0.186731145
0.41,0.186345911
0.42,0.185972256
0.43,0.185609605
0.44,0.18525744
0.45,0.184915255
0.46,0.184582645
0.47,0.184259163
0.48,0.183944414
0.49,0.183638004
0.5,0.183339629
0.51,0.183048937
0.52,0.18276562
0.53,0.182489387
0.54,0.18221994
0.55,0.181957063
0.56,0.181788799
0.57,0.181802503
0.58,0.181816253
0.59,0.181830087
0.6,0.181843986
0.61,0.181938731
0.62,0.18203065
0.63,0.182122634
0.64,0.182214662
0.65,0.182306772
0.66,0.182398946
0.67,0.182491164
0.68,0.182583463
0.69,0.182675825
0.7,0.18276825
0.71,0.182860717
0.72,0.182953265
0.73,0.183045875
0.74,0.183138546
0.75,0.18323126
0.76,0.183324053
0.77,0.183416907
0.78,0.183509821
0.79,0.183602777
0.8,0.183695811
0.81,0.183788906
0.82,0.183882041
0.83,0.183975254
0.84,0.184068526
0.85,0.184161857
0.86,0.184255228
0.87,0.184348677
0.88,0.184442183
0.89,0.184535748
0.9,0.184629352
0.91,0.185884831
0.92,0.18965127
0.93,0.196268025
0.94,0.203851878
0.95,0.211435731
0.96,0.219019584
0.97,0.226603437
0.98,0.234187289
0.99,0.241771142
1,0.249354995
1.01,0.256938848
1.02,0.2645227
1.03,0.272106553
1.04,0.279690406
1.05,0.287274259
1.06,0.286639179
1.07,0.286006946
1.08,0.285377538
1.09,0.284750954
1.1,0.284127174
1.11,0.283506182
1.12,0.282887953
1.13,0.282272462
1.14,0.281659708
1.15,0.28104966
1.16,0.280046022
1.17,0.279032208
1.18,0.278022716
1.19,0.277017564
1.2,0.276016704
1.21,0.275020095
1.22,0.274027767
1.23,0.273039593
1.24,0.272055652
1.25,0.271075861
1.26,0.270102469
1.27,0.269147924
1.28,0.268206396
1.29,0.267275678
1.3,0.266354636
1.31,0.26544283
1.32,0.264539694
1.33,0.263645033
1.34,0.262758487
1.35,0.26187999
1.36,0.261009273
1.37,0.260146265
1.38,0.259290841
1.39,0.258442921
1.4,0.257602355
1.41,0.256769049
1.42,0.25594279
1.43,0.255123553
1.44,0.254311268
1.45,0.253505882
1.46,0.252707358
1.47,0.251915627
1.48,0.251130749
1.49,0.250352587
1.5,0.249581138
1.51,0.248816412
1.52,0.248058357
1.53,0.247306988
1.54,0.246562211
1.55,0.24582408
1.56,0.245092503
1.57,0.244367548
1.58,0.243649135
1.59,0.24293727
1.6,0.24223193
1.61,0.241533113
1.62,0.240840797
1.63,0.240155013
1.64,0.239475647
